,Temporal Neural Networks,MDP,Peer
0,0.6,0.32,0.07
0.05,0.55,0.344,0.07
0.1,0,0.351,0.07
0.15,0,0.33,0.07
0.2,0,0.312,0.07
0.25,0,0.27,0.07
0.3,0,0.18,0.07
0.35,0,0.06,0.07
0.4,0,0,0.07
0.45,0,0,0.07
0.5,0,0,0.07
0.55,0,0,0.07
0.6,0,0,0.07
0.7,0,0,0.07
0.75,0,0,0.07
0.8,0,0,0.07
0.85,0,0,0.07
0.9,0,0,0.07
0.95,0,0,0.07
1,0,0,0.07
